npi,pharmacy_name,owner_name,city,state,zip,phone,grade,outreach_priority,rmm_score,glp1_exposure_index,nearby_glp1_prescriber_claims,est_monthly_glp1_fills,est_loss_per_fill,est_annual_glp1_loss,hpsa_designated,hpsa_score,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,state_glp1_cost_per_pharmacy,county_fips,county_name,rucc_code,rural_classification
1467258442,KERNVILLE HEALTHCARE INC,JOEL F,LAKE ISABELLA,CA,93240,(661) 431-4915,A,Immediate,96.3,79.4,15032,93,$53,"$59,550",Yes,21,20.8,41.4,28.4,"$28,535",5622,"$914,252",06029,Kern County,2,Metro
1891803060,WILLOW PHARMACY,BRIAN STRASNICK,LYNN,MA,01901,(781) 592-4350,A,Immediate,96.2,80.6,16743,248,$46,"$136,331",Yes,21,20.1,41.6,24.2,"$27,561",1934,"$1,914,821",25009,Essex County,1,Metro
1205853223,"SUPERPHARM, INC.",OLEG URIM,LYNN,MA,01901,(781) 599-5900,A,Immediate,96.2,80.6,16743,248,$46,"$136,331",Yes,21,20.1,41.6,24.2,"$27,561",1934,"$1,914,821",25009,Essex County,1,Metro
1447354402,INCA ENTERPRISES INC,CLOVIS BURCH,SHREVEPORT,LA,71101,(318) 222-8477,A,Immediate,95.5,70.7,7624,86,$51,"$53,034",Yes,22,25.6,51.3,25.4,"$17,924",6174,"$758,936",22017,Caddo Parish,2,Metro
1134272644,PILL BOX PHARMACY INCORPORATED,JAMES DUCK,SHREVEPORT,LA,71101,(318) 865-0234,A,Immediate,95.5,70.7,7624,86,$51,"$53,034",Yes,22,25.6,51.3,25.4,"$17,924",6174,"$758,936",22017,Caddo Parish,2,Metro
1679383194,"APOTHEWORX, LLC",HEIDI CRAM,SHREVEPORT,LA,71101,(318) 863-1800,A,Immediate,95.5,70.7,7624,86,$51,"$53,034",Yes,22,25.6,51.3,25.4,"$17,924",6174,"$758,936",22017,Caddo Parish,2,Metro
1851795975,RX CENTER INC,CLIFFORD SMITH,WHISTLER,AL,36612,(251) 404-0845,A,Immediate,95.3,74.4,20908,66,$52,"$41,374",Yes,20,30.1,53.0,21.9,"$36,777",3558,"$562,239",01097,Mobile County,2,Metro
1245250729,DONALD E SCARCLIFF,DONALD SCARCLIFF,WHISTLER,AL,36612,(251) 456-2273,A,Immediate,95.3,74.4,20908,66,$52,"$41,374",Yes,20,30.1,53.0,21.9,"$36,777",3558,"$562,239",01097,Mobile County,2,Metro
1174617658,"ALLSCRIPT PHARMACY,INC.",JOHN VINTI,BUFFALO,NY,14204,(716) 882-0196,A,Immediate,95.2,78.2,42898,48,$52,"$30,223",Yes,22,21.0,47.2,22.5,"$26,000",7748,"$443,971",36029,Erie County,1,Metro
1750659447,MOBILE INFIRMARY ASSOCIATION,DOUGLAS NIX,MOBILE,AL,36607,(251) 435-7948,A,Immediate,94.9,74.4,20908,66,$52,"$41,374",Yes,20,22.2,42.9,24.7,"$40,681",5529,"$562,239",01097,Mobile County,2,Metro
1750508222,LA BLANCA PHARMACY INC,RAFAEL LOPEZ,LA BLANCA,TX,78558,(956) 262-7662,A,Immediate,94.9,73.3,33020,49,$54,"$31,623",Yes,20,22.6,48.7,22.4,"$46,313",905,"$453,995",48215,Hidalgo County,2,Metro
1376619205,DEUEL DRUG STORE INC,CHARLEY DEUEL,MOBILE,AL,36607,(251) 478-7607,A,Immediate,94.9,74.4,20908,66,$52,"$41,374",Yes,20,22.2,42.9,24.7,"$40,681",5529,"$562,239",01097,Mobile County,2,Metro
1659724557,MOBILE INFIRMARY ASSOCIATION,DOUGLAS NIX,MOBILE,AL,36607,(251) 435-6337,A,Immediate,94.9,74.4,20908,66,$52,"$41,374",Yes,20,22.2,42.9,24.7,"$40,681",5529,"$562,239",01097,Mobile County,2,Metro
1952489460,MOORES PHARMACY LLC,REGINALD MOORE,BIRMINGHAM,AL,35208,(205) 785-4223,A,Immediate,94.8,77.9,32044,70,$52,"$43,882",Yes,24,24.4,47.8,23.6,"$37,363",13660,"$562,239",01073,Jefferson County,1,Metro
1831417229,RX PHARMACY,KATHY POLLY,EAST CLEVELAND,OH,44112,(216) 268-5153,A,Immediate,94.3,87.9,33651,139,$49,"$81,966",Yes,23,25.3,48.4,22.7,"$28,957",18493,"$1,109,138",39035,Cuyahoga County,1,Metro
1710332085,M.A.G PHARMACY,MICHAEL ASIEDU-GYEKYE,CLEVELAND,OH,44112,(216) 889-3628,A,Immediate,94.3,87.9,33651,139,$49,"$81,966",Yes,23,25.3,48.4,22.7,"$28,957",18493,"$1,109,138",39035,Cuyahoga County,1,Metro
1598022188,HEALTH CLINIC PHARMACY LLC,CHARLES COTTRELL,MOBILE,AL,36603,(251) 690-8817,A,Immediate,94.2,79.5,38652,71,$52,"$44,508",Yes,20,25.0,50.2,20.4,"$27,083",7805,"$562,239",01097,Mobile County,2,Metro
1619744174,BROAD STREET HEALTH INC,STERLING RIVERS,MOBILE,AL,36603,(251) 432-5601,A,Immediate,94.2,79.5,38652,71,$52,"$44,508",Yes,20,25.0,50.2,20.4,"$27,083",7805,"$562,239",01097,Mobile County,2,Metro
1952601387,IRM ENTERPRISES LLC,REHAN RANA,SAINT LOUIS,MO,63115,(314) 381-9394,A,Immediate,94.1,84.6,57109,92,$53,"$57,993",Yes,24,24.1,48.5,21.5,"$31,898",14252,"$628,075",29510,St. Louis city,1,Metro
1437140282,RINDERER'S DRUG STORE #1,MATTHEW CARLISLE,SAINT LOUIS,MO,63115,(314) 381-0501,A,Immediate,94.1,84.6,57109,92,$53,"$57,993",Yes,24,24.1,48.5,21.5,"$31,898",14252,"$628,075",29510,St. Louis city,1,Metro
1972722825,RX CARE OF LA INC,JESSICA RIVERA,VIVIAN,LA,71082,(318) 375-3784,A,Immediate,93.5,69.4,7796,85,$51,"$52,418",Yes,22,21.7,46.0,21.8,"$25,809",3774,"$758,936",22017,Caddo Parish,2,Metro
1083376990,COMMUNITY RX,DAVID JONES,VIVIAN,LA,71082,(318) 375-3180,A,Immediate,93.5,69.4,7796,85,$51,"$52,418",Yes,22,21.7,46.0,21.8,"$25,809",3774,"$758,936",22017,Caddo Parish,2,Metro
1720199573,APPALACHIA PHARMACY INC,JAMES RIVERS,APPALACHIA,VA,24216,(276) 565-0445,A,Immediate,93.5,66.5,2474,103,$50,"$62,356",Yes,14,19.1,47.6,25.0,"$32,400",2356,"$927,995",51195,Wise County,7,Rural-Remote
1992942841,CORNERSTONE PHARMACY LLC,LEONARD JESSEE,APPALACHIA,VA,24216,(276) 565-3434,A,Immediate,93.5,66.5,2474,103,$50,"$62,356",Yes,14,19.1,47.6,25.0,"$32,400",2356,"$927,995",51195,Wise County,7,Rural-Remote
1306167572,BFL MLK LLC,MIKE BECKWITH,OKLAHOMA CITY,OK,73111,(405) 424-4361,A,Immediate,93.1,78.9,48240,68,$53,"$43,517",Yes,19,24.3,49.9,20.5,"$39,739",11216,"$487,031",40109,Oklahoma County,1,Metro
1932502283,ARK PHARMACY LLC,FATME DAHCHE,DETROIT,MI,48214,(313) 469-8112,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1306904032,INDIAN VILLAGE PHARMACY,IMAD AOUN,DETROIT,MI,48214,(313) 331-2000,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1407271364,MI PHARMACY SERVICES,ABDALLAH KHASHAB,DETROIT,MI,48214,(248) 802-0248,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1396204129,CARELAND PHARMACY AND MEDICAL SUPPLY PLLC,VALANICHE OGBONNAYA,DETROIT,MI,48214,(313) 499-1352,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1396262218,RIVERVIEW PHARMACY LLC,MAHMOUD SROUR,DETROIT,MI,48214,(313) 499-8900,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1336257708,EASTSIDE PHARMACY INC,STEPHEN GRAHAM,DETROIT,MI,48214,(313) 579-1755,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1720212681,EASTSIDE PHARMACY INC,SAM KHREIZAT,DETROIT,MI,48214,(313) 579-1755,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1427807510,TEAM CARES PHARMACY LLC,ZAHER BEYDOUN,DETROIT,MI,48214,(313) 333-7111,A,Immediate,93.1,79.2,38978,61,$49,"$35,736",Yes,24,21.7,45.3,22.4,"$34,807",19014,"$454,258",26163,Wayne County,1,Metro
1447317821,PATTEN DRUG LLC,JOEL FITZPATRICK,PATTEN,ME,04765,(207) 528-2244,A,Immediate,93.0,69.0,4102,123,$49,"$72,383",Yes,19,17.5,42.9,32.0,"$47,269",1452,"$1,100,613",23019,Penobscot County,3,Metro
1487142956,CARESOUTH CAROLINA INC,ASHLEY SINGLETON,SOCIETY HILL,SC,29593,(843) 378-4148,A,Immediate,92.9,63.4,2980,72,$52,"$45,282",Yes,20,23.5,50.1,25.9,"$39,688",1756,"$778,311",45031,Darlington County,3,Metro
1366811630,KMG PHARMACY LLC,MAHMOUD SHALTAF,TROTWOOD,OH,45426,(937) 529-4433,A,Immediate,92.8,79.1,12503,125,$49,"$73,710",Yes,19,21.2,44.7,23.5,"$51,538",13582,"$1,109,138",39113,Montgomery County,2,Metro
1154497816,DAYTON FOODS LIMITED PARTNERSHIP,MIKE LOFINO,TROTWOOD,OH,45426,(937) 837-8810,A,Immediate,92.8,79.1,12503,125,$49,"$73,710",Yes,19,21.2,44.7,23.5,"$51,538",13582,"$1,109,138",39113,Montgomery County,2,Metro
1457695082,PHARMACY HEALTHCARE SOLUTIONS LTD,REKHA THOMAS,CHATTANOOGA,TN,37402,(423) 535-5500,A,Immediate,92.7,74.6,23094,80,$53,"$51,331",Yes,17,19.0,42.8,20.6,"$28,829",4203,"$673,194",47065,Hamilton County,2,Metro
1316757503,ROUTE 66 PHARMACY,SAMVEL KHACHATRYAN,NEEDLES,CA,92363,(760) 800-0108,A,Immediate,92.4,80.7,26214,95,$53,"$60,830",Yes,19,17.3,38.4,24.8,"$40,226",5392,"$914,252",06071,San Bernardino County,1,Metro
1801807433,D AND K PHARMACY INC,DEMETRIUS PARKS,MONTGOMERY,AL,36108,(334) 799-1489,A,Immediate,92.4,73.4,19836,66,$52,"$41,374",Yes,20,25.5,54.5,21.0,"$32,622",15549,"$562,239",01101,Montgomery County,2,Metro
1457991382,ANNISTON RX LLC,MATTHEW SMITH,ANNISTON,AL,36205,(256) 327-1596,A,Immediate,92.3,64.1,6696,57,$52,"$35,732",Yes,15,20.9,42.8,23.7,"$25,637",1233,"$562,239",01015,Calhoun County,3,Metro
1437615440,CINCINNATI PHARMACY LLC,TAREK MOHAMED,CINCINNATI,OH,45229,(513) 376-5358,A,Immediate,92.3,89.0,46852,140,$49,"$82,555",Yes,22,22.0,47.0,19.5,"$30,829",14000,"$1,109,138",39061,Hamilton County,1,Metro
1649301557,MERCY HEALTH YOUNGSTOWN LLC,KIMBERLY RALSTON,YOUNGSTOWN,OH,44504,(330) 480-3804,A,Immediate,92.3,74.1,9040,117,$49,"$68,993",Yes,18,19.3,43.5,20.8,"$40,156",5185,"$1,109,138",39099,Mahoning County,2,Metro
1609931732,CLENDENIN PHARMACY INC,WILLIAM ORE,CLENDENIN,WV,25045,(304) 548-5451,A,Immediate,92.2,68.7,7962,80,$53,"$51,101",Yes,20,19.2,43.2,25.1,"$47,500",4230,"$753,242",54039,Kanawha County,3,Metro
1174635189,SHELIGA DRUG INC,JOSEPH SHELIGA,CLEVELAND,OH,44103,(216) 431-1035,A,Immediate,92.2,92.0,57994,145,$49,"$85,504",Yes,23,26.6,49.7,18.9,"$24,219",13776,"$1,109,138",39035,Cuyahoga County,1,Metro
1457495004,"PZB, LLC",DAVID PERSE,CLEVELAND,OH,44103,(216) 361-4212,A,Immediate,92.2,92.0,57994,145,$49,"$85,504",Yes,23,26.6,49.7,18.9,"$24,219",13776,"$1,109,138",39035,Cuyahoga County,1,Metro
1841526415,CENTER FOR FAMILIES & CHILDREN,DANIEL FRECH,CLEVELAND,OH,44103,(216) 325-9300,A,Immediate,92.2,92.0,57994,145,$49,"$85,504",Yes,23,26.6,49.7,18.9,"$24,219",13776,"$1,109,138",39035,Cuyahoga County,1,Metro
1376716464,CHURCH SQUARE PHARMACY INC.,ABDEL ABUKHALIL,CLEVELAND,OH,44103,(216) 721-1772,A,Immediate,92.2,92.0,57994,145,$49,"$85,504",Yes,23,26.6,49.7,18.9,"$24,219",13776,"$1,109,138",39035,Cuyahoga County,1,Metro
1316051394,"SOUTH WEBSTER PHARMACY, LLC",MICHAEL STURGILL,SOUTH WEBSTER,OH,45682,(740) 778-3784,A,Immediate,92.0,69.1,4362,109,$49,"$64,275",Yes,19,16.1,45.0,27.1,"$44,500",1824,"$1,109,138",39145,Scioto County,4,Rural-Adjacent
1013363381,JONES DRUGS LLC,JAMES JONES,MONTGOMERY,AL,36105,(334) 676-2900,A,Immediate,92.0,68.5,9918,61,$52,"$38,240",Yes,20,23.9,52.3,22.8,"$44,438",9359,"$562,239",01101,Montgomery County,2,Metro
1972163350,"GENESIS HEALTHCARE, INC",TONY MEGNA,OLANTA,SC,29114,(843) 699-2009,A,Immediate,91.9,67.9,7850,78,$52,"$49,056",Yes,18,18.5,43.0,24.7,"$49,000",1815,"$778,311",45041,Florence County,3,Metro
1447941661,OLANTA PHARMACY,MONICA VARGAS,OLANTA,SC,29114,(843) 396-4431,A,Immediate,91.9,67.9,7850,78,$52,"$49,056",Yes,18,18.5,43.0,24.7,"$49,000",1815,"$778,311",45041,Florence County,3,Metro
1699910851,FORESTDALE PHARMACY,WILLIAM MYERS,BIRMINGHAM,AL,35214,(205) 798-2740,A,Immediate,91.9,77.6,32044,69,$52,"$43,255",Yes,24,21.2,43.6,25.0,"$55,478",16495,"$562,239",01073,Jefferson County,1,Metro
1619070786,VILLAGE PHARMACY OF MER ROUGE INC,ELIZABETH BLACKWELL,MER ROUGE,LA,71261,(318) 647-5786,A,Immediate,91.9,60.1,1182,73,$51,"$45,018",Yes,20,25.0,45.0,37.7,"$30,568",1429,"$758,936",22067,Morehouse Parish,3,Metro
1336253319,BRODIE PHARMACY INC,ROBERT ADAMS,MER ROUGE,LA,71261,(318) 647-5754,A,Immediate,91.9,60.1,1182,73,$51,"$45,018",Yes,20,25.0,45.0,37.7,"$30,568",1429,"$758,936",22067,Morehouse Parish,3,Metro
1487119079,"MER ROUGE FAMILY PHARMACY, LLC",LAURA BETH PERKINS,MER ROUGE,LA,71261,(318) 499-4740,A,Immediate,91.9,60.1,1182,73,$51,"$45,018",Yes,20,25.0,45.0,37.7,"$30,568",1429,"$758,936",22067,Morehouse Parish,3,Metro
1104251552,MOORES PHARMACY LLC,REGINALD MOORE,BIRMINGHAM,AL,35214,(205) 907-3840,A,Immediate,91.9,77.6,32044,69,$52,"$43,255",Yes,24,21.2,43.6,25.0,"$55,478",16495,"$562,239",01073,Jefferson County,1,Metro
1730203332,VILLAGE PHARMACY INC,ELIZABETH BLACKWELL,MER ROUGE,LA,71261,(318) 647-5786,A,Immediate,91.9,60.1,1182,73,$51,"$45,018",Yes,20,25.0,45.0,37.7,"$30,568",1429,"$758,936",22067,Morehouse Parish,3,Metro
1437294329,PWP MEDICAL INC,DWAYNE PREAST,BETHEL,NC,27812,(252) 825-7271,A,Immediate,91.5,68.2,7378,90,$54,"$58,460",Yes,18,18.0,44.2,24.7,"$51,265",2059,"$786,708",37147,Pitt County,3,Metro
1518351139,"HOLLY STREET DRUGS, LLC",RACHEL OSTEEN,HOLLY HILL,SC,29059,(803) 496-0007,A,Immediate,91.5,62.2,2504,71,$52,"$44,653",Yes,22,22.8,45.3,27.9,"$37,993",5234,"$778,311",45075,Orangeburg County,4,Rural-Adjacent
1477189553,41 SOUTH SUPPLY INC,JASON FOIL,FAIRMONT,NC,28340,(910) 535-4190,A,Immediate,91.4,66.3,4928,88,$54,"$57,161",Yes,24,21.3,49.1,22.7,"$38,188",9756,"$786,708",37155,Robeson County,4,Rural-Adjacent
1275969487,ROBESON HEALTH CARE CORPORATION,GEORGE HALL,FAIRMONT,NC,28340,(910) 535-4003,A,Immediate,91.4,66.3,4928,88,$54,"$57,161",Yes,24,21.3,49.1,22.7,"$38,188",9756,"$786,708",37155,Robeson County,4,Rural-Adjacent
1841838372,FAIRMONT DRUG COMPANY LLC,JOE WILLIAMS,FAIRMONT,NC,28340,(910) 628-4200,A,Immediate,91.4,66.3,4928,88,$54,"$57,161",Yes,24,21.3,49.1,22.7,"$38,188",9756,"$786,708",37155,Robeson County,4,Rural-Adjacent
1457496192,TOTAL HEALTH PARTNERS INC,LOUIS WILLIAMS,GARY,IN,46402,(219) 885-1615,A,Immediate,91.4,76.4,11572,203,$52,"$125,722",Yes,19,27.8,54.4,17.6,"$29,125",5636,"$2,002,843",18089,Lake County,1,Metro
1467285304,PROFESSIONAL PHARMACY SERVICES LLC,MUSA MUSLEH,GARY,IN,46402,(708) 833-3177,A,Immediate,91.4,76.4,11572,203,$52,"$125,722",Yes,19,27.8,54.4,17.6,"$29,125",5636,"$2,002,843",18089,Lake County,1,Metro
1235224122,AUSTIN P HORN,AUSTIN HORN,KERNVILLE,CA,93238,(760) 376-2216,A,Immediate,91.2,72.4,9895,85,$53,"$54,427",Yes,21,17.7,35.6,56.1,"$49,665",726,"$914,252",06107,Tulare County,2,Metro
1538222153,MCDOWELLS PHARMACY INC.,THOMAS MCDOWELL,SCOTLAND NECK,NC,27874,(252) 826-4137,A,Immediate,91.2,60.9,1587,80,$54,"$51,965",Yes,22,22.4,43.6,39.6,"$37,500",3677,"$786,708",37083,Halifax County,4,Rural-Adjacent
1649478025,BOLAND PHARMACY,JULIAN BOLAND,ELLOREE,SC,29047,(803) 897-2133,A,Immediate,91.1,61.4,2342,70,$52,"$44,024",Yes,22,20.9,42.9,30.4,"$34,964",3745,"$778,311",45075,Orangeburg County,4,Rural-Adjacent
1912963745,ELLOREE PHARMACY LLC,VAN HIGH,ELLOREE,SC,29047,(803) 897-2131,A,Immediate,91.1,61.4,2342,70,$52,"$44,024",Yes,22,20.9,42.9,30.4,"$34,964",3745,"$778,311",45075,Orangeburg County,4,Rural-Adjacent
1629617352,RITEFYL,SHERIF MANKARYOUS,CLEVELAND,OH,44108,(216) 538-3353,A,Immediate,90.9,85.8,33496,135,$49,"$79,607",Yes,23,23.4,48.1,19.0,"$32,530",20579,"$1,109,138",39035,Cuyahoga County,1,Metro
1306340328,MEDI-SCRIPT INC,CASEY SURMICK,PLAIN DEALING,LA,71064,(318) 326-4759,A,Immediate,90.8,63.9,3312,78,$51,"$48,101",Yes,18,18.0,46.6,24.8,"$40,347",3993,"$758,936",22015,Bossier Parish,2,Metro
1760576011,KELLY PHARMACY INC KELLY PHARMACY & GIFTS,PATRICK BOGGS,PLAIN DEALING,LA,71064,(318) 326-4229,A,Immediate,90.8,63.9,3312,78,$51,"$48,101",Yes,18,18.0,46.6,24.8,"$40,347",3993,"$758,936",22015,Bossier Parish,2,Metro
1720140346,"CCMT, LLC",CASEY SURMICK,PLAIN DEALING,LA,71064,(318) 326-4759,A,Immediate,90.8,63.9,3312,78,$51,"$48,101",Yes,18,18.0,46.6,24.8,"$40,347",3993,"$758,936",22015,Bossier Parish,2,Metro
1043658883,NEW GRATIOT PHARMACY LLC,BHUPINDER THANDI,DETROIT,MI,48207,(313) 922-0700,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1376688275,SAV-MART PHARMACY GRATIOT LLC,ABDO SHOUBAH,DETROIT,MI,48207,(313) 923-0007,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1497280259,DUNDEE FAMILY PHARMACY LLC,ALI ABDUL-HADI,DETROIT,MI,48207,(313) 462-4828,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1033151568,SMADA ENTERPRISES INC,BASHIRU ADAMS,DETROIT,MI,48207,(313) 579-5502,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1659408995,BLAIN PHARMACY LLC,EMAD HAMDAN,DETROIT,MI,48207,(313) 393-2323,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1801843339,LAFAYETTE DRUGS INC,YVONNE GALLAGHER,DETROIT,MI,48207,(313) 259-0090,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1578832846,LAFAYETTE PHARMACY LLC,MOHAMED SOHOUBAH,DETROIT,MI,48207,(313) 396-5555,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1578719985,GRAND PHARMACY,NAVEED SYED,DETROIT,MI,48207,(313) 922-6666,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1093200586,SONNY PHARMACY LLC,ALI ABDUL-HADI,DETROIT,MI,48207,(313) 356-2922,A,Immediate,90.6,77.9,38978,60,$49,"$35,150",Yes,24,18.8,41.7,22.6,"$44,561",20068,"$454,258",26163,Wayne County,1,Metro
1467732701,MEDEX ASSOCIATES LLC,HETAL THAKORE,AUGUSTA,GA,30901,(706) 434-1590,A,Immediate,90.5,69.4,13598,66,$53,"$42,150",Yes,21,25.1,43.5,21.0,"$23,019",16187,"$580,207",13245,Richmond County,2,Metro
1861504706,MAXWELL HOUSE PHARMACY LLC,KEITH MATTHEWS,AUGUSTA,GA,30901,(706) 722-4695,A,Immediate,90.5,69.4,13598,66,$53,"$42,150",Yes,21,25.1,43.5,21.0,"$23,019",16187,"$580,207",13245,Richmond County,2,Metro
1912094194,BORDELONS SUPER SAVE INC,JOHN MAY,BATON ROUGE,LA,70811,(225) 356-0654,A,Immediate,90.5,76.5,21428,93,$51,"$57,351",Yes,21,22.7,45.2,18.9,"$41,195",13178,"$758,936",22033,East Baton Rouge Parish,2,Metro
1720496276,AMERICAN SPECIALTY PHARMACY INC,ABDUL HAMEED,SAN ANTONIO,TX,78208,(210) 598-2678,A,Immediate,90.5,73.9,52690,50,$54,"$32,268",Yes,21,20.7,42.2,17.9,"$23,194",3877,"$453,995",48029,Bexar County,1,Metro
1760688030,DAVE'S SUPERMARKETS INC,JOEL WOLFE,CLEVELAND,OH,44128,(216) 991-8648,A,Immediate,90.5,86.9,33496,137,$49,"$80,786",Yes,23,21.3,45.2,21.4,"$44,615",27611,"$1,109,138",39035,Cuyahoga County,1,Metro
1518972124,BUNKIE PHARMACY INC,FRED FOGLEMAN,BUNKIE,LA,71322,(318) 346-6343,A,Immediate,90.4,61.1,1691,74,$51,"$45,634",Yes,22,24.1,48.2,23.8,"$25,655",5257,"$758,936",22009,Avoyelles Parish,6,Rural-Adjacent
1407860307,"BUNKIE CITY DRUG, INC.",JEFFREY JUNEAU,BUNKIE,LA,71322,(318) 346-6307,A,Immediate,90.4,61.1,1691,74,$51,"$45,634",Yes,22,24.1,48.2,23.8,"$25,655",5257,"$758,936",22009,Avoyelles Parish,6,Rural-Adjacent
1033969225,BUNKIE GENERAL PHARMACY LLC,LATRICE WILLIAMS,BUNKIE,LA,71322,(318) 346-6681,A,Immediate,90.4,61.1,1691,74,$51,"$45,634",Yes,22,24.1,48.2,23.8,"$25,655",5257,"$758,936",22009,Avoyelles Parish,6,Rural-Adjacent
