npi,display_name,legal_name,dba_name,address_1,address_2,city,state,zip,phone,enumeration_date,last_updated
1598751562,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,,4301 W MARKHAM ST,SLOT 547-10,LITTLE ROCK,AR,72205,5016865530,09/23/2005,07/03/2024
1891727863,AZ BD OF REGENTS FOR ON BEHALF OF NORTHERN AZ UNIVERSITY,AZ BD OF REGENTS FOR ON BEHALF OF NORTHERN AZ UNIVERSITY,,824 S SAN FRANCISCO ST,BLDG 25 NORTHERN ARIZONA UNIVERSITY CAMPUS,FLAGSTAFF,AZ,86011,9285236343,07/07/2006,08/15/2011
1639384233,COBRE VALLEY REGIONAL MEDICAL CENTER,COBRE VALLEY REGIONAL MEDICAL CENTER,,5880 S HOSPITAL DR,,GLOBE,AZ,85501,9284253261,05/14/2007,07/05/2017
1487297842,COBRE VALLEY REGIONAL MEDICAL CENTER,COBRE VALLEY REGIONAL MEDICAL CENTER,,100 S TILBURY DR,,KEARNY,AZ,85137,9284021174,10/17/2019,10/17/2019
1376150946,"COMMUNITY HOSPITAL ASSOCIATION, INC.","COMMUNITY HOSPITAL ASSOCIATION, INC.",,520 ROSE LN,,WICKENBURG,AZ,85390,9286844380,09/28/2020,09/28/2020
1649348442,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF MEDICAL CENTER,,77 W FOREST AVE,STE 104,FLAGSTAFF,AZ,86001,9287732565,12/01/2006,04/14/2025
1235996075,LA PAZ REGIONAL HOSPITAL INC,LA PAZ REGIONAL HOSPITAL INC,,401 W RIVERSIDE DR,,PARKER,AZ,85344,9286699201,02/28/2024,12/05/2024
1487244323,PALOVERDE HEALTH SERVICES PHARMACY LLC,PALOVERDE HEALTH SERVICES PHARMACY LLC,,18 W CENTER ST,,PIMA,AZ,85543,9283226009,01/25/2021,02/09/2022
1841586773,PHOENIX CHILDREN'S HOSPITAL,PHOENIX CHILDREN'S HOSPITAL,,1919 E THOMAS RD,,PHOENIX,AZ,85016,6029332048,06/20/2011,09/19/2025
1386749836,PHOENIX CHILDREN'S HOSPITAL HOPE,PHOENIX CHILDREN'S HOSPITAL HOPE,,1919 E THOMAS RD,,PHOENIX,AZ,85016,6029334673,09/13/2006,09/02/2025
1841851847,"PHOENIX ER AND MEDICAL HOSPITAL, LLC","PHOENIX ER AND MEDICAL HOSPITAL, LLC",,3050 S DOBSON RD,,CHANDLER,AZ,85248,4802845867,06/21/2019,03/18/2025
1972876563,TUCSON MEDICAL CENTER,TUCSON MEDICAL CENTER,,5301 E GRANT RD,,TUCSON,AZ,85712,5203241890,02/14/2012,03/17/2025
1235654336,VERDE VALLEY MEDICAL CENTER,VERDE VALLEY MEDICAL CENTER,,269 S CANDY LN,,COTTONWOOD,AZ,86326,9286396266,08/09/2017,04/14/2025
1710138037,WESTERN REGIONAL MEDICAL CENTER INC,WESTERN REGIONAL MEDICAL CENTER INC,,14200 W CELEBRATE LIFE WAY,,GOODYEAR,AZ,85338,6232073202,10/06/2008,03/08/2024
1275195778,986 INFUSION PHARMACY #1 INC.,986 INFUSION PHARMACY #1 INC.,,4420 E MIRALOMA AVE STE F,,ANAHEIM,CA,92807,7147011192,07/03/2019,07/03/2019
1780813485,ALTA BATES SUMMIT MEDICAL CENTER,ALTA BATES SUMMIT MEDICAL CENTER,,3100 SUMMIT ST,,OAKLAND,CA,94609,5108698451,07/02/2009,01/20/2022
1609409077,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,2100 W 3RD ST STE 190,,LOS ANGELES,CA,90057,2133559840,02/13/2020,02/28/2020
1356975239,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,1325 N ANAHEIM BLVD,SUITE 102,ANAHEIM,CA,92801,7145071484,02/28/2020,02/28/2020
1326672205,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,5417 WHITTIER BLVD,,LOS ANGELES,CA,90022,8884999303,02/28/2020,02/28/2020
1942836424,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,2720 S BRISTOL ST RM 100,,SANTA ANA,CA,92704,7146014610,03/17/2020,07/26/2023
1720607997,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,8627 ATLANTIC AVE RM 100,,SOUTH GATE,CA,90280,8884999303,04/08/2020,04/08/2020
1700405701,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,972 GOODRICH BLVD RM 100,,COMMERCE,CA,90022,3239149804,04/10/2020,04/14/2021
1871116566,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,12751 HARBOR BLVD RM 100,,GARDEN GROVE,CA,92840,3236222449,05/28/2020,05/28/2020
1871116574,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,1300 S SUNSET AVE RM 100,,WEST COVINA,CA,91790,8884999303,05/28/2020,05/28/2020
1538782230,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,3945 WHITTIER BLVD RM 100,,LOS ANGELES,CA,90023,8884999303,05/28/2020,05/28/2020
1487277174,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,6336 PASSONS BLVD RM 100,,PICO RIVERA,CA,90660,8884999303,05/28/2020,05/28/2020
1275156960,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,1900 E SLAUSON AVE RM 100,,HUNTINGTON PARK,CA,90255,8884999303,05/28/2020,05/28/2020
1629854419,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,3208 SANTA ANITA AVE # 100,,EL MONTE,CA,91733,3235972895,09/06/2023,09/06/2023
1780463752,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,1855 N FAIR OAKS AVE STE 200,,PASADENA,CA,91103,6263986300,09/27/2023,09/27/2023
1295575769,ALTAMED HEALTH SERVICES CORP,ALTAMED HEALTH SERVICES CORP,,9056 ROSECRANS AVE,,BELLFLOWER,CA,90706,8884999303,05/30/2024,07/18/2025
1902644842,ALTAMED HEALTH SERVICES CORPORATION,ALTAMED HEALTH SERVICES CORPORATION,,9056 ROSECRANS AVE,,BELLFLOWER,CA,90706,8884999303,07/16/2024,08/12/2024
1033957972,ALTAMED HEALTH SERVICES CORPORATION,ALTAMED HEALTH SERVICES CORPORATION,,9056 ROSECRANS AVE,,BELLFLOWER,CA,90706,8884999303,07/16/2024,07/18/2025
1184504292,ALTAMED HEALTH SERVICES CORPORATION,ALTAMED HEALTH SERVICES CORPORATION,,9406 WASHINGTON BLVD STE 100,,PICO RIVERA,CA,90660,5622940454,09/08/2025,12/09/2025
1144100256,ALTAMED HEALTH SERVICES CORPORATION,ALTAMED HEALTH SERVICES CORPORATION,,2277 N GAREY AVE STE 100,,POMONA,CA,91767,9098700148,09/08/2025,12/09/2025
1306726419,ALTAMED HEALTH SERVICES CORPORATION,ALTAMED HEALTH SERVICES CORPORATION,,2100 MAIN ST STE 155,,HUNTINGTON BEACH,CA,92648,7147407062,09/08/2025,12/09/2025
1912572942,AMERICAN RIVER INFUSION SERVICES,AMERICAN RIVER INFUSION SERVICES,,3855 N FREEWAY BLVD STE 110,,SACRAMENTO,CA,95834,9162397900,05/21/2021,12/06/2021
1770518292,ATWELL HOME CARE INC,ATWELL HOME CARE INC,,3299 E HILL ST,STE 301,SIGNAL HILL,CA,90755,5625976800,07/12/2006,04/13/2012
1386035293,BEST CARE HEALTH SERVICES,BEST CARE HEALTH SERVICES,,7021 CANOGA AVE,#B,CANOGA PARK,CA,91303,8189140773,02/13/2015,08/26/2015
1669542189,BESTCARE HEALTH SERVICES LLC,BESTCARE HEALTH SERVICES LLC,,570 S MOUNT VERNON AVE STE F2,,SAN BERNARDINO,CA,92410,9094981801,11/09/2006,09/20/2024
1033135983,"BIOPLUS SPECIALTY INFUSION CA, LLC","BIOPLUS SPECIALTY INFUSION CA, LLC",,19110 VAN NESS AVE,,TORRANCE,CA,90501,3103206444,07/14/2006,12/16/2024
1730194366,CALIFORNIA STATE UNIVERSITY FULLERTON,CALIFORNIA STATE UNIVERSITY FULLERTON,,800 N STATE COLLEGE BLVD,,FULLERTON,CA,92831,7142782890,07/30/2006,08/28/2013
1750524831,CALIFORNIA STATE UNIVERSITY SAN BERNARDINO AP,CALIFORNIA STATE UNIVERSITY SAN BERNARDINO AP,,5500 UNIVERSITY PKWY,STUDENT HEALTH CENTER PHARMACY,SAN BERNARDINO,CA,92407,9095373273,04/20/2009,05/22/2024
1528195393,CALIFORNIA STATE UNIVERSITY STANISLAUS,CALIFORNIA STATE UNIVERSITY STANISLAUS,,1 UNIVERSITY CIR,,TURLOCK,CA,95382,2096673396,02/27/2007,02/19/2015
1942348958,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",,18111 NORDHOFF ST,,NORTHRIDGE,CA,91330,8186773666,02/02/2007,09/17/2014
1376998401,"CENTRAL COAST HOME HEALTH, INC.","CENTRAL COAST HOME HEALTH, INC.",,243 GRANADA DR STE A,SUITE A,SAN LUIS OBISPO,CA,93401,8055402780,04/26/2016,11/02/2020
1467471995,CHA HOLLYWOOD MEDICAL CENTER LP,CHA HOLLYWOOD MEDICAL CENTER LP,,1300 N VERMONT AVE,,LOS ANGELES,CA,90027,3239134989,07/18/2006,09/11/2025
1790929511,CHILDREN'S HOSPITAL LOS ANGELES,CHILDREN'S HOSPITAL LOS ANGELES,,4650 W SUNSET BLVD,MAILBOX # 44,LOS ANGELES,CA,90027,3233612406,04/23/2009,10/21/2021
1831766476,CHILDREN'S HOSPITAL OF ORANGE,CHILDREN'S HOSPITAL OF ORANGE,,1201 W LA VETA AVE,,ORANGE,CA,92868,8777942462,06/10/2021,12/01/2021
1790823136,CHINESE HOSPITAL ASSOCIATION,CHINESE HOSPITAL ASSOCIATION,,845 JACKSON ST,,SAN FRANCISCO,CA,94133,4156772430,02/01/2007,09/19/2025
1912365958,CHINESE HOSPITAL ASSOCIATION,CHINESE HOSPITAL ASSOCIATION,,386 GELLERT BLVD,SUITE A,DALY CITY,CA,94015,6507613560,02/05/2016,03/29/2016
1215359518,CONTINUED CARE LTC PHARMACY LLC,CONTINUED CARE LTC PHARMACY LLC,,9320 HAZARD WAY STE B1,,SAN DIEGO,CA,92123,8882772132,01/06/2014,07/07/2022
1891810883,COUNTY OF LOS ANGELES,COUNTY OF LOS ANGELES,,2010 ZONAL AVE,,LOS ANGELES,CA,90033,3234092800,03/20/2007,06/26/2024
1437575685,COUNTY OF RIVERSIDE,COUNTY OF RIVERSIDE,,9990 COUNTY FARM RD,SUITE 2,RIVERSIDE,CA,92503,9513584790,03/12/2014,03/12/2014
1609408178,COUNTY OF RIVERSIDE,COUNTY OF RIVERSIDE,,26600 CACTUS AVE,,MORENO VALLEY,CA,92555,9514864529,02/12/2020,02/12/2020
1780338103,COUNTY OF RIVERSIDE,COUNTY OF RIVERSIDE,,191 N SUNRISE WAY,,PALM SPRINGS,CA,92262,7607782210,02/04/2022,02/04/2022
1235943036,COUNTY OF RIVERSIDE,COUNTY OF RIVERSIDE,,14375 NASON ST STE 208,,MORENO VALLEY,CA,92555,9514864523,02/03/2025,02/03/2025
1245998947,COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,,3851 ROSECRANS ST.,RM G35,SAN DIEGO,CA,92110,6196928033,11/30/2021,12/17/2021
1730870197,COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,,690 OXFORD ST RM 196,,CHULA VISTA,CA,91911,6194093150,05/17/2023,05/17/2023
1801605241,COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,,3160 CAMINO DEL RIO S STE 100,,SAN DIEGO,CA,92108,6194028564,12/31/2024,12/31/2024
1487286951,COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,,2101 FOREST AVE STE 122,,SAN JOSE,CA,95128,4089472988,02/12/2020,06/23/2023
1538864608,COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,,18550 DE PAUL DR STE 150,,MORGAN HILL,CA,95037,4089612131,03/30/2023,06/23/2023
1679261473,COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,,1996 LUNDY AVE STE B,,SAN JOSE,CA,95131,6692203000,04/28/2023,04/28/2023
1326873795,COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,,4151 MIDDLEFIELD RD # 300,,PALO ALTO,CA,94303,6508430626,09/05/2024,09/05/2024
1639688732,CURE STAT RX HOME INFUSION AND SPECIALTY PHARMACY INC,CURE STAT RX HOME INFUSION AND SPECIALTY PHARMACY INC,,6725 MESA RIDGE RD STE 202&230,,SAN DIEGO,CA,92121,8889636544,09/21/2017,09/19/2025
1184322489,CURE STAT RX HOME INFUSION AND SPECIALTY PHARMACY INC,CURE STAT RX HOME INFUSION AND SPECIALTY PHARMACY INC,,6725 MESA RIDGE RD STE 230,,SAN DIEGO,CA,92121,8582752144,02/16/2023,02/16/2023
1386734044,CV HEALTH SERVICES INC,CV HEALTH SERVICES INC,,8215 VAN NUYS BLVD STE 102,,PANORAMA CITY,CA,91402,8187874490,10/13/2006,12/18/2020
1043838691,CV HEALTH SERVICES INC,CV HEALTH SERVICES INC,,8215 VAN NUYS BLVD,,PANORAMA CITY,CA,91402,8187874490,07/10/2020,07/13/2020
1073663431,DAMERON HOSPITAL ASSOCIATION,DAMERON HOSPITAL ASSOCIATION,,420 W ACACIA ST,,STOCKTON,CA,95203,2094662954,01/10/2007,09/29/2015
1699811190,EISENHOWER MEDICAL CENTER,EISENHOWER MEDICAL CENTER,,39000 BOB HOPE DR,KIEWIT BLDG,RANCHO MIRAGE,CA,92270,7607731219,01/30/2007,08/13/2010
1326370073,EISNER PEDIATRIC AND FAMILY MEDICAL CENTER,EISNER PEDIATRIC AND FAMILY MEDICAL CENTER,,1500 S OLIVE ST,,LOS ANGELES,CA,90015,2137475542,02/05/2010,02/05/2010
1306344510,EL CAMINO HOSPITAL,EL CAMINO HOSPITAL,,2500 GRANT RD STE 1B20,SUITE 1B20,MOUNTAIN VIEW,CA,94040,6509888240,01/23/2018,01/09/2025
1174301022,EMANATE HEALTH MEDICAL CENTER,EMANATE HEALTH MEDICAL CENTER,,1135 S SUNSET AVE STE 104,,WEST COVINA,CA,91790,6267328670,09/20/2023,06/18/2024
1629613260,EMPIRE INFUSION PHARMACY INC,EMPIRE INFUSION PHARMACY INC,,2025 CHICAGO AVE,UNIT A3,RIVERSIDE,CA,92507,9517771363,11/07/2019,08/28/2023
1912949538,ENLOE MEDICAL CENTER,ENLOE MEDICAL CENTER,,1531 ESPLANADE RM 1044,,CHICO,CA,95926,5303326870,06/11/2006,09/08/2025
1588385454,ENLOE MEDICAL CENTER,ENLOE MEDICAL CENTER,,251 COHASSET RD,,CHICO,CA,95926,5303327300,09/08/2022,01/05/2023
1518091347,FEATHER RIVER HOSPITAL,FEATHER RIVER HOSPITAL,,5125 SKYWAY,,PARADISE,CA,95969,5308762525,03/15/2007,05/06/2015
1487688669,FEDERAL DRUG EMPLOYEES CORPORATION,FEDERAL DRUG EMPLOYEES CORPORATION,,FEDERAL DRUG EMPLOYEES CORPORATION,3327 STATE STREET,SANTA BARBARA,CA,93105,8056877551,07/11/2006,07/18/2025
1518988575,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,,290 N WAYTE LN,,FRESNO,CA,93701,5594594592,07/22/2006,08/10/2016
1821239112,GARDNER FAMILY HEALTH NETWORK INC,GARDNER FAMILY HEALTH NETWORK INC,,7526 MONTEREY ST,,GILROY,CA,95020,4088489494,03/16/2009,10/09/2009
1427069913,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE ADVENTIST MEDICAL CENTER,,1560 E CHEVY CHASE DR,STE 110,GLENDALE,CA,91206,8182404971,08/10/2006,05/05/2025
1588040786,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE ADVENTIST MEDICAL CENTER,,1509 WILSON TER RM 4B13,,GLENDALE,CA,91206,8184098517,08/11/2015,11/13/2025
1295543155,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE ADVENTIST MEDICAL CENTER,,1505 WILSON TERRACE #100,,GLENDALE,CA,91206,8184098319,12/24/2024,12/24/2024
1801256789,GROSSMONT HOSPITAL CORPORATION,GROSSMONT HOSPITAL CORPORATION,,5555 GROSSMONT CENTER DR # A217,,LA MESA,CA,91942,6197404458,03/04/2016,02/27/2019
1073265302,GROSSMONT HOSPITAL CORPORATION,GROSSMONT HOSPITAL CORPORATION,,3558 RUFFIN RD STE 101,,SAN DIEGO,CA,92123,8586275620,01/18/2022,01/28/2022
1598108847,HOMETOWN LTC PHARMACY INC,HOMETOWN LTC PHARMACY INC,,1450 W MCCOY LN STE B,,SANTA MARIA,CA,93455,8059282200,04/16/2013,09/19/2025
1821030446,INDIAN HEALTH COUNCIL PHARMACY,INDIAN HEALTH COUNCIL PHARMACY,,50100 GOLSH RD,,VALLEY CENTER,CA,92082,7607491410,06/11/2006,11/09/2015
1780997619,INFORTEL MEDICAL GROUP,INFORTEL MEDICAL GROUP,,1820 WILSHIRE BLVD,,SANTA MONICA,CA,90403,3108920468,07/20/2010,02/03/2015
1942482104,"INLAND BEHAVIORAL AND HEALTH SERVICES, INC.","INLAND BEHAVIORAL AND HEALTH SERVICES, INC.",,665 N D ST STE H,,SAN BERNARDINO,CA,92401,9097088166,11/29/2007,05/01/2020
